fit_date, subtype_id, groups, times
2019-11-1,23,3,30
2019-11-2,53,3,20
2019-11-3,3,2,4
2019-11-3,32,1,13
2019-11-3,32,5,8
2019-11-4,23,3,30
2019-11-5,3,3,5
2019-11-5,2,2,40
2019-11-5,53,3,30
2019-11-6,44,1,50
2019-11-6,46,2,10
2019-11-6,32,1,14
2019-11-6,32,3,9
2019-11-8,23,3,30
2019-11-9,53,3,30
2019-11-10,2,1,40
2019-11-10,3,4,6
2019-11-10,32,1,15
2019-11-10,32,4,9
2019-11-11,23,3,30
2019-11-12,53,3,30
2019-11-13,32,1,15
2019-11-13,32,4,9
2019-11-13,2,1,40
2019-11-13,3,3,6
2019-11-15,23,3,30
2019-11-16,44,1,50
2019-11-16,45,1,30
2019-11-16,46,1,20
2019-11-16,53,3,30
2019-11-17,2,1,40
2019-11-17,3,4,10
2019-11-17,3,1,15
2019-11-17,32,1,16
2019-11-17,32,3,10
2019-11-18,23,3,30
2019-11-19,53,3,30
2019-11-19,53,1,25
2019-11-20,2,1,40
2019-11-20,3,2,15
2019-11-20,32,1,17
2019-11-20,32,3,10
2019-11-21,24,3,8
2019-11-23,53,3,30
2019-11-23,54,1,8
2019-11-24,3,3,25
2019-11-24,3,1,10
2019-11-24,44,1,50
2019-11-24,46,2,20
2019-11-24,32,4,10
2019-11-24,32,1,18
2019-11-25,24,2,15
2019-11-26,44,1,50
2019-11-26,46,2,20
2019-11-26,54,2,15
2019-11-27,32,4,11
2019-11-27,32,1,18
2019-11-27,3,3,25
2019-11-29,24,3,25
2019-11-30,54,3,25
