fit_date, subtype_id, groups, times
2020-01-2,32,1,25
2020-01-2,32,4,19
2020-01-3,26,5,9
2020-01-4,44,1,50
2020-01-4,45,1,20
2020-01-4,46,1,20
2020-01-4,55,3,20
2020-01-5,5,3,20
2020-01-5,6,2,5
2020-01-5,32,1,26
2020-01-5,32,6,19
2020-01-6,25,1,25
2020-01-6,26,4,14
2020-01-7,55,4,20
2020-01-8,32,1,26
2020-01-8,32,5,20
2020-01-8,6,3,9
2020-01-11,26,3,17
2020-01-11,55,4,20
2020-01-11,44,1,50
2020-01-11,45,1,20
2020-01-11,46,1,20
2020-01-12,32,1,27
2020-01-12,32,6,21
2020-01-12,6,3,14
2020-01-13,26,3,20
2020-01-13,25,1,25
2020-01-14,55,4,20
2020-01-15,32,5,22
2020-01-15,32,1,28
2020-01-16,26,3,20
2020-01-18,55,4,20
2020-01-18,44,1,50
2020-01-18,45,1,20
2020-01-18,46,1,20
2020-01-19,6,3,14
2020-01-19,32,1,29
2020-01-19,32,6,23
2020-01-20,25,1,25
2020-01-20,26,2,20
2020-01-20,26,1,15
2020-01-21,55,2,20
2020-01-21,55,2,19
2020-01-22,32,1,30
2020-01-22,32,4,23
2020-01-22,32,2,22
2020-01-22,6,3,14
2020-01-24,26,3,20
2020-01-24,25,1,25
2020-01-25,55,4,20
2020-01-26,6,3,14
2020-01-26,32,1,30
2020-01-26,32,2,24
2020-01-26,32,3,23
2020-01-27,25,1,25
2020-01-27,26,3,20
2020-01-28,55,4,20
2020-01-29,32,1,30
2020-01-29,32,4,25
2020-01-29,32,2,23
2020-01-29,6,3,14
2020-01-31,55,2,20
2020-01-31,56,2,14
