fit_date, subtype_id, groups, times
2019/10/4,44,2,35
2019/10/4,51,3,50
2019/10/6,21,3,40
2019/10/6,22,2,10
2019/10/7,44,2,50
2019/10/7,22,2,20
2019/10/7,1,1,10
2019/10/7,32,1,2
2019/10/9,22,3,25
2019/10/9,1,2,25
2019/10/9,44,3,50
2019/10/9,52,1,10
2019/10/10,52,3,25
2019/10/13,32,1,6
2019/10/14,1,3,50
2019/10/14,52,3,30
2019/10/15,44,3,50
2019/10/15,45,2,10
2019/10/15,22,3,35
2019/10/16,32,4,5
2019/10/17,52,3,40
2019/10/17,52,1,20
2019/10/17,2,2,20
2019/10/19,2,3,30
2019/10/19,22,4,35
2019/10/20,2,3,40
2019/10/20,2,1,10
2019/10/20,32,5,4
2019/10/21,52,3,40
2019/10/22,44,1,10
2019/10/22,45,2,30
2019/10/22,22,3,35
2019/10/23,2,3,40
2019/10/24,32,1,10
2019/10/24,32,3,5
2019/10/25,52,3,40
2019/10/25,52,2,20
2019/10/26,2,3,40
2019/10/26,23,4,15
2019/10/27,32,1,10
2019/10/27,32,4,6
2019/10/28,2,3,40
2019/10/28,23,3,30
2019/10/29,52,3,40
2019/10/29,53,1,10
2019/10/30,45,2,30
2019/10/30,44,1,20
2019/10/30,32,5,7
