fit_date, subtype_id, groups, times
2020-02-1,26,1,20
2020-02-1,25,3,25
2020-02-2,6,3,14
2020-02-2,32,1,31
2020-02-2,32,2,26
2020-02-2,32,4,24
2020-02-3,26,2,20
2020-02-3,25,2,25
2020-02-4,55,2,21
2020-02-4,56,2,25
2020-02-5,32,3,20
2020-02-5,32,2,25
2020-02-5,44,1,50
2020-02-5,45,1,20
2020-02-5,46,1,20
2020-02-7,6,3,16
2020-02-7,25,2,25
2020-02-7,27,2,9
2020-02-8,55,2,22
2020-02-8,56,2,20
2020-02-9,6,3,16
2020-02-9,33,3,14
2020-02-10,25,2,25
2020-02-10,27,2,20
2020-02-11,55,2,20
2020-02-11,55,2,14
2020-02-12,6,1,16
2020-02-12,6,2,18
2020-02-12,33,2,17
2020-02-12,33,5,15
2020-02-14,25,2,25
2020-02-14,27,2,20
2020-02-15,55,4,20
2020-02-16,6,3,16
2020-02-16,33,2,18
2020-02-16,33,5,16
2020-02-17,25,2,25
2020-02-17,27,2,20
2020-02-18,55,2,20
2020-02-18,55,2,15
2020-02-19,6,3,16
2020-02-19,33,3,19
2020-02-19,33,3,16
2020-02-21,25,4,25
2020-02-22,55,2,22
2020-02-22,55,2,20
2020-02-23,6,3,17
2020-02-23,33,3,20
2020-02-24,25,1,25
2020-02-24,27,3,20
2020-02-25,55,2,23
2020-02-25,55,2,18
2020-02-26,6,3,17
2020-02-26,34,6,10
2020-02-28,27,3,20
2020-02-29,55,2,25
2020-02-29,55,2,22
2020-02-29,44,1,50
2020-02-29,46,1,20
