fit_date, subtype_id, groups, times
2021-01-1,13,3,50
2021-01-1,13,1,30
2021-01-2,36,2,18
2021-01-2,36,2,15
2021-01-2,36,2,14
2021-01-2,35,1,12
2021-01-3,55,1,35
2021-01-3,6,1,20
2021-01-3,6,2,22
2021-01-3,30,2,30
2021-01-3,25,1,25
2021-01-3,58,4,15
2021-01-4,13,3,55
2021-01-4,13,1,25
2021-01-6,36,2,19
2021-01-6,36,2,16
2021-01-6,36,2,14
2021-01-6,35,1,12
2021-01-8,58,3,10
2021-01-9,13,3,60
2021-01-9,13,1,25
2021-01-10,36,2,20
2021-01-10,36,2,17
2021-01-10,36,2,15
2021-01-10,35,1,11
2021-01-10,30,2,30
2021-01-11,58,4,12
2021-01-11,55,1,35
2021-01-11,44,1,20
2021-01-11,44,1,50
2021-01-12,13,3,60
2021-01-12,13,1,25
2021-01-13,36,2,20
2021-01-13,36,2,17
2021-01-13,36,2,15
2021-01-13,35,1,11
2021-01-15,58,3,12
2021-01-15,55,1,35
2021-01-15,58,1,10
2021-01-16,6,1,20
2021-01-16,6,2,22
2021-01-17,36,2,20
2021-01-17,36,2,17
2021-01-17,36,2,15
2021-01-17,35,1,12
2021-01-17,30,2,30
2021-01-17,25,1,25
2021-01-18,58,4,16
2021-01-18,55,1,35
2021-01-19,13,1,70
2021-01-19,13,1,25
2021-01-19,13,2,60
2021-01-19,13,1,40
2021-01-20,36,2,20
2021-01-20,36,2,17
2021-01-20,36,2,15
2021-01-20,35,1,12
2021-01-22,58,4,18
2021-01-22,55,1,35
2021-01-23,30,2,30
2021-01-23,13,2,30
2021-01-23,13,1,80
2021-01-23,13,2,70
2021-01-24,36,2,20
2021-01-24,36,2,17
2021-01-24,36,2,15
2021-01-24,35,1,12
2021-01-26,58,2,18
2021-01-26,58,2,20
2021-01-27,13,1,30
2021-01-27,13,1,80
2021-01-27,13,2,70
2021-01-28,36,2,20
2021-01-28,36,2,17
2021-01-28,36,2,15
2021-01-28,35,1,12
2021-01-30,60,4,5
2021-01-31,6,1,18
2021-01-31,6,1,20
2021-01-31,30,2,30
2021-01-31,25,1,25
2021-01-31,13,2,30
2021-01-31,13,1,80
2021-01-31,13,2,70
2021-01-31,44,1,20
2021-01-31,44,1,50
