fit_date, subtype_id, groups, times
2020-12-1,30,2,30
2020-12-1,25,1,25
2020-12-1,36,2,15
2020-12-1,36,2,13
2020-12-1,36,1,11
2020-12-1,35,1,9
2020-12-1,44,1,50
2020-12-1,44,1,20
2020-12-2,58,4,10
2020-12-2,55,1,35
2020-12-4,36,2,16
2020-12-4,36,2,14
2020-12-4,36,1,12
2020-12-4,35,1,10
2020-12-5,58,4,10
2020-12-5,55,1,35
2020-12-7,30,2,30
2020-12-7,25,1,25
2020-12-7,44,1,50
2020-12-7,44,1,20
2020-12-8,36,2,16
2020-12-8,36,2,14
2020-12-8,36,1,12
2020-12-8,35,1,10
2020-12-9,58,4,12
2020-12-9,55,1,35
2020-12-11,13,4,12
2020-12-12,36,2,17
2020-12-12,36,2,14
2020-12-12,36,1,12
2020-12-12,35,1,10
2020-12-13,58,4,15
2020-12-13,55,1,35
2020-12-14,6,3,20
2020-12-14,30,2,30
2020-12-14,25,1,25
2020-12-16,36,2,17
2020-12-16,36,2,14
2020-12-16,36,1,12
2020-12-16,35,1,10
2020-12-18,58,4,15
2020-12-19,13,3,20
2020-12-19,13,1,30
2020-12-20,36,2,18
2020-12-20,36,2,15
2020-12-20,36,1,13
2020-12-20,35,1,11
2020-12-22,58,4,15
2020-12-22,55,1,35
2020-12-23,30,2,30
2020-12-23,25,1,25
2020-12-23,44,1,50
2020-12-23,44,1,20
2020-12-23,13,1,10
2020-12-23,13,2,36
2020-12-23,11,2,20
2020-12-25,36,2,18
2020-12-25,36,2,15
2020-12-25,36,1,13
2020-12-25,35,1,11
2020-12-25,6,1,20
2020-12-25,6,2,22
2020-12-26,58,4,15
2020-12-26,55,1,35
2020-12-27,13,3,45
2020-12-27,13,1,25
2020-12-27,30,2,30
2020-12-27,44,1,50
2020-12-27,44,1,20
2020-12-29,36,2,18
2020-12-29,36,2,15
2020-12-29,36,1,13
2020-12-29,35,1,11
2020-12-30,58,4,15
2020-12-30,55,1,35
