fit_date, subtype_id, groups, times
2020-10-1,30,2,30
2020-10-1,25,1,25
2020-10-1,6,2,20
2020-10-2,55,1,160
2020-10-2,56,2,20
2020-10-4,55,1,160
2020-10-4,56,2,20
2020-10-5,35,5,10
2020-10-5,44,1,50
2020-10-5,44,1,20
2020-10-6,55,1,160
2020-10-6,56,2,20
2020-10-8,55,1,160
2020-10-8,56,2,20
2020-10-9,30,2,30
2020-10-10,55,1,160
2020-10-10,56,2,20
2020-10-12,57,2,4
2020-10-13,30,2,30
2020-10-13,25,1,25
2020-10-13,11,1,30
2020-10-13,11,2,59
2020-10-14,37,1,1
2020-10-16,57,2,9
2020-10-18,11,1,120
2020-10-18,7,1,3
2020-10-19,57,6,15
2020-10-19,55,1,35
2020-10-20,12,1,3
2020-10-21,36,2,7
2020-10-21,36,3,10
2020-10-22,12,2,4
2020-10-24,57,6,17
2020-10-24,7,1,1
2020-10-25,36,2,10
2020-10-25,36,2,11
2020-10-25,36,2,8
2020-10-25,35,1,9
2020-10-25,35,5,10
2020-10-25,44,1,50
2020-10-25,44,1,20
2020-10-25,30,2,30
2020-10-25,25,1,25
2020-10-27,12,2,4
2020-10-28,57,6,17
2020-10-28,55,1,35
2020-10-30,36,2,10
2020-10-30,36,2,12
2020-10-30,36,2,9
2020-10-30,35,1,9
2020-10-31,12,1,5
