fit_date, subtype_id, groups, times
2020-05-6,52,2,28
2020-05-6,55,3,17
2020-05-8,55,2,10
2020-05-9,6,1,18
2020-05-9,6,2,22
2020-05-9,35,1,10
2020-05-9,34,1,10
2020-05-9,35,2,13
2020-05-10,55,10,10
2020-05-11,53,6,10
2020-05-11,52,2,10
2020-05-12,30,2,30
2020-05-12,30,1,20
2020-05-12,25,1,25
2020-05-12,6,1,18
2020-05-12,6,2,22
2020-05-13,45,2,15
2020-05-15,53,6,10
2020-05-15,52,2,10
2020-05-16,35,2,15
2020-05-16,35,1,10
2020-05-16,36,1,10
2020-05-16,45,1,20
2020-05-16,44,1,50
2020-05-17,53,4,10
2020-05-17,52,1,10
2020-05-17,55,2,25
2020-05-19,30,1,25
2020-05-19,25,1,25
2020-05-19,35,2,15
2020-05-19,36,1,10
2020-05-19,35,1,10
