fit_date, subtype_id, groups, times
2020-04-1,55,2,24
2020-04-1,55,2,20
2020-04-1,53,1,20
2020-04-2,30,2,20
2020-04-2,30,3,15
2020-04-3,35,1,12
2020-04-3,35,4,9
2020-04-5,6,1,18
2020-04-5,6,2,20
2020-04-5,30,1,15
2020-04-6,30,3,20
2020-04-6,25,3,25
2020-04-7,44,1,50
2020-04-7,45,1,20
2020-04-7,55,2,25
2020-04-7,55,3,20
2020-04-8,36,2,9
2020-04-8,35,1,7
2020-04-8,35,3,9
2020-04-11,6,1,18
2020-04-11,6,2,22
2020-04-11,56,2,20
2020-04-11,55,2,20
2020-04-11,54,1,20
2020-04-12,44,1,50
2020-04-12,45,1,20
2020-04-12,36,2,11
2020-04-12,35,1,7
2020-04-12,35,3,9
2020-04-13,30,2,20
2020-04-13,30,2,25
2020-04-14,54,1,20
2020-04-14,55,2,20
2020-04-14,56,2,21
2020-04-15,35,2,13
2020-04-15,35,2,10
2020-04-15,35,2,8
2020-04-15,6,2,22
2020-04-15,6,1,18
2020-04-17,56,2,21
2020-04-17,55,2,20
2020-04-17,53,1,20
2020-04-18,30,2,25
2020-04-18,30,2,20
2020-04-19,6,2,22
2020-04-19,6,1,18
2020-04-19,35,2,13
2020-04-19,36,2,9
2020-04-19,35,2,9
2020-04-19,34,1,8
2020-04-20,30,2,27
2020-04-20,30,2,20
2020-04-21,55,2,27
2020-04-21,53,1,20
2020-04-21,56,1,20
2020-04-21,55,1,20
2020-04-22,55,2,14
2020-04-22,56,2,10
2020-04-22,55,1,10
2020-04-22,54,1,9
2020-04-24,54,1,20
2020-04-24,55,2,20
2020-04-24,55,2,28
2020-04-25,44,1,50
2020-04-25,45,1,20
2020-04-25,6,2,22
2020-04-25,6,1,18
2020-04-25,30,2,28
2020-04-25,30,2,20
2020-04-26,34,2,10
2020-04-26,34,2,15
2020-04-26,36,1,10
2020-04-27,55,2,30
2020-04-27,30,2,30
2020-04-28,30,2,25
2020-04-28,35,2,15
2020-04-28,35,1,10
2020-04-28,36,1,10
