fit_date, subtype_id, groups, times
2020-03-1,34,6,11
2020-03-2,25,1,25
2020-03-2,27,3,20
2020-03-3,55,2,20
2020-03-3,55,2,15
2020-03-4,34,7,12
2020-03-5,6,3,18
2020-03-6,55,2,21
2020-03-6,55,2,18
2020-03-7,28,4,9
2020-03-7,46,1,20
2020-03-7,44,1,50
2020-03-8,34,3,13
2020-03-8,34,4,12
2020-03-8,6,3,18
2020-03-9,28,4,14
2020-03-10,55,2,22
2020-03-10,55,2,19
2020-03-11,34,3,15
2020-03-13,6,3,18
2020-03-13,28,4,15
2020-03-14,46,1,20
2020-03-14,44,1,50
2020-03-14,55,2,23
2020-03-14,55,3,20
2020-03-15,35,5,7
2020-03-16,6,2,18
2020-03-16,29,4,9
2020-03-17,55,2,25
2020-03-17,55,3,22
2020-03-18,35,3,9
2020-03-18,35,3,8
2020-03-19,6,3,18
2020-03-20,29,4,14
2020-03-21,55,5,20
2020-03-22,35,3,10
2020-03-22,35,3,8
2020-03-23,29,4,15
2020-03-24,55,2,22
2020-03-24,55,2,20
2020-03-24,53,1,20
2020-03-25,35,3,11
2020-03-25,35,2,8
2020-03-25,34,1,10
2020-03-27,30,1,9
2020-03-29,36,6,7
2020-03-29,6,1,18
2020-03-29,6,3,20
2020-03-29,46,1,20
2020-03-29,44,1,50
2020-03-30,30,5,14
2020-03-31,53,1,20
2020-03-31,55,2,20
2020-03-31,55,2,23
