fit_date, subtype_id, groups, times
2020-08-1,30,2,30
2020-08-1,25,1,25
2020-08-1,44,1,50
2020-08-1,44,1,20
2020-08-2,55,1,200
2020-08-4,55,1,200
2020-08-5,44,1,50
2020-08-5,44,1,20
2020-08-5,6,1,18
2020-08-5,6,2,20
2020-08-7,55,1,200
2020-08-9,30,2,30
2020-08-9,25,1,25
2020-08-9,55,1,200
2020-08-10,35,3,10
2020-08-10,34,2,10
2020-08-11,55,1,200
2020-08-12,6,1,18
2020-08-12,6,2,20
2020-08-14,55,1,200
2020-08-15,30,2,30
2020-08-15,25,1,25
2020-08-16,55,1,180
2020-08-16,56,2,20
2020-08-18,55,1,160
2020-08-18,56,2,20
2020-08-19,35,2,10
2020-08-19,34,1,10
2020-08-19,34,2,8
2020-08-21,55,1,160
2020-08-21,56,2,20
2020-08-22,6,1,18
2020-08-22,6,2,20
2020-08-23,55,1,160
2020-08-23,56,2,20
2020-08-25,55,1,160
2020-08-25,56,2,20
2020-08-26,30,2,30
2020-08-26,25,1,25
2020-08-26,44,1,50
2020-08-26,44,1,20
2020-08-28,55,1,160
2020-08-28,56,2,20
2020-08-29,35,2,12
2020-08-29,34,1,10
2020-08-29,34,2,8
2020-08-30,55,1,160
2020-08-30,56,2,20
