fit_date, subtype_id, groups, times
2020-07-1,55,1,170
2020-07-3,55,1,180
2020-07-4,35,3,10
2020-07-5,55,1,180
2020-07-7,55,1,180
2020-07-8,30,2,30
2020-07-11,55,1,180
2020-07-13,55,1,180
2020-07-14,44,1,20
2020-07-14,44,1,50
2020-07-14,6,2,20
2020-07-14,6,1,18
2020-07-15,55,1,180
2020-07-17,55,1,180
2020-07-19,55,1,180
2020-07-20,35,2,10
2020-07-20,35,3,8
2020-07-21,55,1,180
2020-07-23,30,2,30
2020-07-23,26,1,25
2020-07-24,55,1,210
2020-07-25,35,2,8
2020-07-25,35,3,10
2020-07-26,55,1,200
2020-07-28,55,1,200
2020-07-29,6,2,20
2020-07-29,6,1,18
2020-07-31,55,1,200
